date,close,action,position,cash
2018-03-08,52.130001068115234,buy,4,99750.99001312256
2018-03-09,52.970001220703125,buy,5,99698.02001190186
2018-03-12,52.900001525878906,buy,6,99645.12001037598
2018-03-13,52.58000183105469,buy,7,99592.54000854492
2018-03-14,52.31999969482422,sell,0,99958.78000640869
2018-03-15,52.369998931884766,hold,0,99958.78000640869
2018-03-16,52.27000045776367,hold,0,99958.78000640869
2018-03-19,51.95000076293945,hold,0,99958.78000640869
2018-03-20,47.04999923706055,hold,0,99958.78000640869
2018-03-21,47.02000045776367,hold,0,99958.78000640869
2018-03-22,45.88999938964844,hold,0,99958.78000640869
2018-03-23,44.790000915527344,hold,0,99958.78000640869
2018-03-26,46.47999954223633,buy,1,99912.30000686646
2018-03-27,45.380001068115234,sell,0,99957.68000793457
2018-03-28,44.97999954223633,hold,0,99957.68000793457
2018-03-29,45.75,buy,1,99911.93000793457
2018-04-02,45.0099983215332,sell,0,99956.9400062561
2018-04-03,44.88999938964844,hold,0,99956.9400062561
2018-04-04,45.5099983215332,buy,1,99911.43000793457
2018-04-05,45.959999084472656,buy,2,99865.4700088501
2018-04-06,44.83000183105469,sell,0,99955.1300125122
2018-04-09,44.900001525878906,hold,0,99955.1300125122
2018-04-10,45.81999969482422,buy,1,99909.31001281738
2018-04-11,45.61000061035156,buy,2,99863.70001220703
2018-04-12,45.880001068115234,buy,3,99817.82001113892
2018-04-13,46.08000183105469,buy,4,99771.74000930786
2018-04-16,46.04999923706055,buy,5,99725.6900100708
2018-04-17,46.65999984741211,buy,6,99679.03001022339
2018-04-18,47.08000183105469,buy,7,99631.95000839233
2018-04-19,46.81999969482422,buy,8,99585.13000869751
2018-04-20,46.22999954223633,sell,0,99954.9700050354
2018-04-23,45.79999923706055,hold,0,99954.9700050354
2018-04-24,45.529998779296875,hold,0,99954.9700050354
2018-04-25,45.75,hold,0,99954.9700050354
2018-04-26,45.959999084472656,buy,1,99909.01000595093
2018-04-27,45.529998779296875,sell,0,99954.54000473022
2018-04-30,45.66999816894531,hold,0,99954.54000473022
2018-05-01,45.95000076293945,buy,1,99908.59000396729
2018-05-02,45.5099983215332,sell,0,99954.10000228882
2018-05-03,45.060001373291016,hold,0,99954.10000228882
2018-05-04,45.709999084472656,buy,1,99908.39000320435
2018-05-07,46.06999969482422,buy,2,99862.32000350952
2018-05-08,45.939998626708984,buy,3,99816.38000488281
2018-05-09,46.58000183105469,buy,4,99769.80000305176
2018-05-10,46.93000030517578,buy,5,99722.87000274658
2018-05-11,46.81999969482422,buy,6,99676.05000305176
2018-05-14,46.81999969482422,buy,7,99629.23000335693
2018-05-15,46.810001373291016,buy,8,99582.42000198364
2018-05-16,46.72999954223633,sell,0,99956.25999832153
2018-05-17,46.540000915527344,hold,0,99956.25999832153
2018-05-18,46.31999969482422,hold,0,99956.25999832153
2018-05-21,47.209999084472656,buy,1,99909.04999923706
2018-05-22,46.369998931884766,sell,0,99955.41999816895
2018-05-23,46.900001525878906,buy,1,99908.51999664307
2018-05-24,46.459999084472656,sell,0,99954.97999572754
2018-05-25,47.0,buy,1,99907.97999572754
2018-05-29,46.2599983215332,sell,0,99954.23999404907
2018-05-30,47.04999923706055,buy,1,99907.18999481201
2018-05-31,46.720001220703125,buy,2,99860.46999359131
2018-06-01,47.349998474121094,buy,3,99813.11999511719
2018-06-04,47.31999969482422,buy,4,99765.79999542236
2018-06-05,47.130001068115234,buy,5,99718.66999435425
2018-06-06,47.75,buy,6,99670.91999435425
2018-06-07,47.68000030517578,buy,7,99623.23999404907
2018-06-08,48.18000030517578,buy,8,99575.0599937439
2018-06-11,48.189998626708984,buy,9,99526.86999511719
2018-06-12,48.45000076293945,buy,10,99478.41999435425
2018-06-13,48.27000045776367,buy,11,99430.14999389648
2018-06-14,45.900001525878906,sell,0,99935.05001068115
2018-06-15,46.279998779296875,hold,0,99935.05001068115
2018-06-18,46.52000045776367,hold,0,99935.05001068115
2018-06-19,46.27000045776367,hold,0,99935.05001068115
2018-06-20,42.81999969482422,hold,0,99935.05001068115
2018-06-21,43.099998474121094,hold,0,99935.05001068115
2018-06-22,44.099998474121094,hold,0,99935.05001068115
2018-06-25,44.279998779296875,buy,1,99890.77001190186
2018-06-26,44.40999984741211,buy,2,99846.36001205444
2018-06-27,43.45000076293945,sell,0,99933.26001358032
2018-06-28,43.84000015258789,hold,0,99933.26001358032
2018-06-29,44.060001373291016,buy,1,99889.20001220703
2018-07-02,44.95000076293945,buy,2,99844.25001144409
2018-07-03,44.720001220703125,buy,3,99799.53001022339
2018-07-05,45.40999984741211,buy,4,99754.12001037598
2018-07-06,46.0,buy,5,99708.12001037598
2018-07-09,46.72999954223633,buy,6,99661.39001083374
2018-07-10,46.9900016784668,buy,7,99614.40000915527
2018-07-11,47.63999938964844,buy,8,99566.76000976562
2018-07-12,48.150001525878906,buy,9,99518.61000823975
2018-07-13,48.630001068115234,buy,10,99469.98000717163
2018-07-16,48.459999084472656,buy,11,99421.52000808716
2018-07-17,48.900001525878906,buy,12,99372.62000656128
2018-07-18,48.63999938964844,buy,13,99323.98000717163
2018-07-19,48.439998626708984,sell,0,99953.69998931885
2018-07-20,48.52000045776367,hold,0,99953.69998931885
2018-07-23,48.66999816894531,buy,1,99905.0299911499
2018-07-24,48.66999816894531,buy,2,99856.35999298096
2018-07-25,48.95000076293945,buy,3,99807.40999221802
2018-07-26,48.869998931884766,buy,4,99758.53999328613
2018-07-27,48.630001068115234,sell,0,99953.0599975586
2018-07-30,47.72999954223633,hold,0,99953.0599975586
2018-07-31,47.68000030517578,hold,0,99953.0599975586
2018-08-01,47.349998474121094,hold,0,99953.0599975586
2018-08-02,47.900001525878906,buy,1,99905.15999603271
2018-08-03,48.470001220703125,buy,2,99856.68999481201
2018-08-06,48.66999816894531,buy,3,99808.01999664307
2018-08-07,48.47999954223633,buy,4,99759.53999710083
2018-08-08,48.38999938964844,buy,5,99711.14999771118
2018-08-09,48.540000915527344,buy,6,99662.60999679565
2018-08-10,48.31999969482422,sell,0,99952.5299949646
2018-08-13,48.0099983215332,hold,0,99952.5299949646
2018-08-14,48.22999954223633,hold,0,99952.5299949646
2018-08-15,47.84000015258789,hold,0,99952.5299949646
2018-08-16,48.099998474121094,hold,0,99952.5299949646
2018-08-17,48.36000061035156,buy,1,99904.16999435425
2018-08-20,48.41999816894531,buy,2,99855.7499961853
2018-08-21,48.40999984741211,buy,3,99807.33999633789
2018-08-22,48.79999923706055,buy,4,99758.53999710083
2018-08-23,48.959999084472656,buy,5,99709.57999801636
2018-08-24,49.2599983215332,buy,6,99660.31999969482
2018-08-27,49.33000183105469,buy,7,99610.98999786377
2018-08-28,48.63999938964844,sell,0,99951.46999359131
2018-08-29,48.88999938964844,hold,0,99951.46999359131
